56bca1,00110010 00110000 00110010 00110011 00110000 00110011 00110001 00110101,Café Arábica
34acd2,00110010 00110000 00110010 00110011 00110000 00110011 00110010 00110000,Café Robusta
78ef56,00110010 00110000 00110010 00110011 00110000 00110011 00110001 00111000,Café Liberica
12ab34,00110010 00110000 00110010 00110011 00110000 00110011 00110010 00110010,Café Excelsa
9cde87,00110010 00110000 00110010 00110011 00110000 00110011 00110001 00110111,Café Bourbon
45bc12,00110010 00110000 00110010 00110011 00110000 00110011 00110001 00111001,Café Typica
23cd89,00110010 00110000 00110010 00110011 00110000 00110011 00110010 00110001,Café Geisha
65da23,00110010 00110000 00110010 00110011 00110000 00110011 00110001 00110110,Café Maragogipe
af235c,00110010 00110000 00110010 00110011 00110000 00110011 00110010 00110011,Café Moka
b7df34,00110010 00110000 00110010 00110011 00110000 00110011 00110001 00110100,Café Tarrazú
c8e456,00110010 00110000 00110010 00110011 00110000 00110011 00110010 00110101,Café Yirgacheffe
d9f567,00110010 00110000 00110010 00110011 00110000 00110011 00110010 00110110,Café Sumatra
e1d278,00110010 00110000 00110010 00110011 00110000 00110011 00110010 00110111,Café Sulawesi
f2c389,00110010 00110000 00110010 00110011 00110000 00110011 00110010 00111000,Café Java
a3b4c5,00110010 00110000 00110010 00110011 00110000 00110011 00110010 00111001,Café Harrar
b4d5e6,00110010 00110000 00110010 00110011 00110000 00110011 00110011 00110000,Café Sidamo
c5e7f8,00110010 00110000 00110010 00110011 00110000 00110011 00110011 00110001,Café Mandheling
